delaymain,delayms,shortExample.thisRepN,shortExample.thisTrialN,shortExample.thisN,shortExample.thisIndex,LongExample.thisRepN,LongExample.thisTrialN,LongExample.thisN,LongExample.thisIndex,mainExpLoop.thisRepN,mainExpLoop.thisTrialN,mainExpLoop.thisN,mainExpLoop.thisIndex,Instructions_2.started,Instructions_2.stopped,Inst_key_2.keys,Inst_key_2.rt,Inst_key_2.started,Inst_key_2.stopped,text_3.started,text_3.stopped,Instructions_3.started,Instructions_3.stopped,intention_keys.keys,intention_keys.rt,intention_keys.started,intention_keys.stopped,ActualBallDirection,Instructions_5.started,Instructions_5.stopped,Instructions_6.started,Instructions_6.stopped,Beep.started,Beep.stopped,feedback_txt.started,feedback_txt.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,SubmittedTimeRating,timing_slider.response,timing_slider.rt,timing_slider.started,timing_slider.stopped,submit_button.started,submit_button.stopped,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,Timetext.started,Timetext.stopped,timing_question.started,timing_question.stopped,Participant,Session,Block,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,22.675521972007118,None,space,39.57852179801557,22.675521972007118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
0,0ms,0,0,0,0,,,,,,,,,,,,,,,62.28661541402107,None,63.295797490049154,None,down,2.4002747599733993,63.295797490049154,None,down,65.72017135267767,None,65.7205243660137,None,65.72017135267767,None,65.83395274804207,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
0,0ms,0,1,1,4,,,,,,,,,,,,,,,,,66.43447354604723,None,down,3.9916030050371774,66.43447354604723,None,down,70.45336327766223,None,70.45059520000359,70.55341069499264,70.45336327766223,None,70.56770141900051,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
0,0ms,0,2,2,3,,,,,,,,,,,,,,,,,71.16806161304703,None,down,1.0402062800130807,71.16806161304703,None,down,72.23693042068432,None,72.23422698699869,None,72.23693042068432,None,72.33445090602618,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
0,0ms,0,3,3,2,,,,,,,,,,,,,,,,,72.9339335670229,None,down,0.5415554320206866,72.9339335670229,None,down,73.50324148568713,None,73.50082210300025,73.60321465000743,73.50324148568713,None,73.61750498699257,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
0,0ms,0,4,4,1,,,,,,,,,,,,,,,,,74.2176493370207,None,down,0.3810581929865293,74.2176493370207,None,down,74.61717968969994,None,74.61746476002736,None,74.61717968969994,None,74.72053754603257,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
1,1000ms,,,,,0,0,0,3,,,,,,,,,,,,,76.34383148601046,None,down,1.1132421479560435,76.34383148601046,None,down,77.48397906601895,None,78.48387669899967,None,78.48635058268361,None,78.58369919203687,None,75.33388209302211,None,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
1,1000ms,,,,,0,1,1,4,,,,,,,,,,,,,79.18382647802355,None,down,0.28804772201692685,79.18382647802355,None,down,79.50066000502557,None,80.50057909899624,None,80.50320940267217,None,80.60064813599456,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
1,1000ms,,,,,0,2,2,0,,,,,,,,,,,,,81.20425160304876,None,down,0.27648326399503276,81.20425160304876,None,down,81.50065662001725,None,82.50064580800245,None,82.50108530867534,None,82.6005309750326,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
1,1000ms,,,,,0,3,3,2,,,,,,,,,,,,,83.2008647180046,None,down,0.4708792149904184,83.2008647180046,None,down,83.70124993304489,None,84.70054958504625,None,84.70333801466428,None,84.80065068800468,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
1,1000ms,,,,,0,4,4,1,,,,,,,,,,,,,85.4015016159974,None,down,0.3998972940025851,85.4015016159974,None,down,85.81763183703879,None,86.81748590699863,None,86.82015979366066,None,86.91742626402993,None,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
1,1000ms,,,,,,,,,0,0,0,10,,,,,,,,,88.52505170204677,None,down,0.9750269320211373,88.52505170204677,None,down,89.51747843599878,None,90.51733105600579,90.61959634901723,90.51976533170479,None,132.86624247999862,None,,,87.51745055103675,None,474.0,474.0,38.58051494200481,90.661041992018,None,90.661041992018,None,1,[42.224135850032326],[42.22413930500625],90.661041992018,None,90.661041992018,None,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
0,0ms,,,,,,,,,0,1,1,0,,,,,,,,,133.46687008900335,None,down,3.5719414170016535,133.46687008900335,None,down,137.06892415666178,None,137.06655611703172,None,137.06892415666178,None,157.64948187599657,None,,,,,486.0,486.0,1.4488918249844573,137.17231910303235,None,137.17231910303235,None,2,"[42.224135850032326, 20.474012428021524]","[42.22413930500625, 20.474016241030768]",137.17231910303235,None,137.17231910303235,None,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
0.7,700ms,,,,,,,,,0,2,2,7,,,,,,,,,158.24991296202643,None,down,1.3390461250091903,158.24991296202643,None,down,159.61656120803673,None,160.31610637303675,160.41852285701316,160.31868958566727,None,162.91596887703054,None,,,,,531.0,531.0,1.3655788580072112,160.43697173002874,None,160.43697173002874,None,3,"[42.224135850032326, 20.474012428021524, 2.4759812820120715]","[42.22413930500625, 20.474016241030768, 2.4759859230252914]",160.43697173002874,None,160.43697173002874,None,,,,2022_Mar_17_1505,Interval_training,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,163.51635135599645,None,escape,2.968846482981462,163.51635135599645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
